Company1,Company2,Value
1,1,1
1,2,-0.276172589
1,3,-0.069499541
1,4,0
1,5,0.049723612
1,6,-0.027993172
1,7,-0.123983508
1,8,0.390807089
1,9,0.606680503
1,10,0.14338523
1,11,0.628885799
1,12,0.053522165
1,13,0.048735665
1,14,-0.071335801
1,15,0.040047392
1,16,0.207103806
1,17,0.446464535
1,18,0.222863897
1,19,-0.193389666
1,20,-0.102521517
1,21,-0.238416855
1,22,-0.278291163
1,23,-0.294830639
1,24,-0.254033716
1,25,0.456895506
1,26,-0.28025946
1,27,0.33836757
1,28,0.032234617
1,29,0.173468305
1,30,0.357705443
2,1,-0.276172589
2,2,1
2,3,0.373329307
2,4,0
2,5,-0.854786122
2,6,-0.3912554
2,7,-0.151013685
2,8,-0.391000084
2,9,-0.154408612
2,10,-0.450031461
2,11,-0.460629099
2,12,-0.86390662
2,13,-0.482037204
2,14,-0.302545974
2,15,-0.473972626
2,16,0.521346629
2,17,-0.868001247
2,18,-0.14924202
2,19,-0.222137406
2,20,-0.135288644
2,21,-0.258325611
2,22,0.244575476
2,23,0.921766711
2,24,0.860652581
2,25,-0.030038491
2,26,0.657483805
2,27,-0.743540638
2,28,-0.556178356
2,29,-0.529009869
2,30,-0.712592236
3,1,-0.069499541
3,2,0.373329307
3,3,1
3,4,0
3,5,-0.189417287
3,6,-0.231725709
3,7,-0.069409479
3,8,-0.391024762
3,9,-0.081262558
3,10,-0.026935016
3,11,-0.360413305
3,12,-0.149645426
3,13,-0.099694877
3,14,-0.216250142
3,15,-0.093127886
3,16,-0.057808852
3,17,-0.225978371
3,18,-0.465447443
3,19,-0.106018727
3,20,-0.064654067
3,21,-0.147489596
3,22,0.353283258
3,23,0.42430519
3,24,0.187335023
3,25,-0.275964498
3,26,0.123648214
3,27,-0.015747835
3,28,0.112910943
3,29,0.007207326
3,30,-0.32013006
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
5,1,0.049723612
5,2,-0.854786122
5,3,-0.189417287
5,4,0
5,5,1
5,6,0.267623787
5,7,0.064788519
5,8,0.364274223
5,9,0.061114796
5,10,0.371323917
5,11,0.225565098
5,12,0.92161803
5,13,0.360950594
5,14,0.172456858
5,15,0.356784671
5,16,-0.635335745
5,17,0.707386549
5,18,0.035406506
5,19,0.09780105
5,20,0.056835842
5,21,0.115682344
5,22,-0.26530566
5,23,-0.800218023
5,24,-0.798218167
5,25,-0.072350895
5,26,-0.538091612
5,27,0.642942974
5,28,0.675671689
5,29,0.39965952
5,30,0.595269429
6,1,-0.027993172
6,2,-0.3912554
6,3,-0.231725709
6,4,0
6,5,0.267623787
6,6,1
6,7,0.30345994
6,8,-0.242643706
6,9,-0.321909788
6,10,0.670580731
6,11,-0.100334845
6,12,0.549039378
6,13,0.843788918
6,14,0.764159214
6,15,0.840553289
6,16,-0.273572896
6,17,0.31130876
6,18,-0.222986396
6,19,0.435671143
6,20,0.261072918
6,21,0.562728613
6,22,0.504925267
6,23,-0.423643807
6,24,-0.260408502
6,25,-0.233410714
6,26,-0.63810465
6,27,0.627272435
6,28,0.007600587
6,29,0.657140611
6,30,0.128727734
7,1,-0.123983508
7,2,-0.151013685
7,3,-0.069409479
7,4,0
7,5,0.064788519
7,6,0.30345994
7,7,1
7,8,-0.101548382
7,9,-0.075754103
7,10,0.085016206
7,11,-0.054087135
7,12,0.19192051
7,13,0.243412915
7,14,0.288857044
7,15,0.265015158
7,16,-0.057660311
7,17,0.106242469
7,18,-0.000456419
7,19,0.701031477
7,20,0.855545086
7,21,0.52361582
7,22,0.272944517
7,23,0.007087678
7,24,0.028921544
7,25,-0.095300509
7,26,-0.196947807
7,27,0.186069851
7,28,-0.023459242
7,29,0.256111478
7,30,0.059742599
8,1,0.390807089
8,2,-0.391000084
8,3,-0.391024762
8,4,0
8,5,0.364274223
8,6,-0.242643706
8,7,-0.101548382
8,8,1
8,9,0.612006948
8,10,-0.242228793
8,11,0.658182991
8,12,0.174852648
8,13,-0.27978578
8,14,-0.197534768
8,15,-0.272977123
8,16,0.143840667
8,17,0.401247808
8,18,0.612728919
8,19,-0.148545478
8,20,-0.085824902
8,21,-0.179464439
8,22,-0.787668515
8,23,-0.4458206
8,24,-0.245642871
8,25,0.679625901
8,26,-0.072305282
8,27,0.011944803
8,28,0.311695287
8,29,-0.271547455
8,30,0.491180051
9,1,0.606680503
9,2,-0.154408612
9,3,-0.081262558
9,4,0
9,5,0.061114796
9,6,-0.321909788
9,7,-0.075754103
9,8,0.612006948
9,9,1
9,10,-0.218024688
9,11,0.740362242
9,12,-0.082200638
9,13,-0.287638992
9,14,-0.284037013
9,15,-0.277335472
9,16,0.397268407
9,17,0.204133576
9,18,0.318699341
9,19,-0.137041676
9,20,-0.061462318
9,21,-0.18796748
9,22,-0.553264276
9,23,-0.173923831
9,24,-0.087663121
9,25,0.620808644
9,26,-0.053862084
9,27,0.0030772
9,28,0.018437862
9,29,-0.239632715
9,30,0.231951227
10,1,0.14338523
10,2,-0.450031461
10,3,-0.026935016
10,4,0
10,5,0.371323917
10,6,0.670580731
10,7,0.085016206
10,8,-0.242228793
10,9,-0.218024688
10,10,1
10,11,-0.058065201
10,12,0.562303794
10,13,0.887135423
10,14,0.328874158
10,15,0.884240725
